session_date,ticker,selection_rank,alpha_score,predicted_net_pct,probability,net_return_pct,excess_pct,date,entry_date_5d,exit_date_5d,entry_open_5d,exit_close_5d,gross_usd_5d_pct,gross_krw_5d_pct,net_krw_5d_pct
2025-10-08,AMD,1,0.9891304347826086,4.306873680407296,0.6485946113926842,0.9638284186182293,1.0719634024552838,2025-10-08,2025-10-09,2025-10-15,236.3000030517578,238.6000061035156,0.9733402547836612,1.4638284186182293,0.9638284186182293
2025-10-08,APLD,2,0.9673913043478262,2.2485620806814177,0.661234317732411,34.14663201998568,34.254767003822735,2025-10-08,2025-10-09,2025-10-15,28.18000030517578,37.7599983215332,33.99573425340907,34.64663201998568,34.14663201998568
2025-10-08,CDE,3,0.9456521739130435,2.6735945340615124,0.6266978531420565,2.7667278707078307,2.874862854544885,2025-10-08,2025-10-09,2025-10-15,21.65568242885699,22.25500869750977,2.7675242773885333,3.2667278707078307,2.7667278707078307
2025-10-09,ONDS,1,0.9795918367346939,5.126911872872525,0.6404230495549667,-22.333887172856294,-19.43355632271987,2025-10-09,2025-10-10,2025-10-16,10.479999542236328,8.199999809265137,-21.75572359313922,-21.833887172856294,-22.333887172856294
2025-10-09,CDE,2,0.9387755102040817,4.7316695596181555,0.6156735245287437,12.125300840389041,15.025631690525463,2025-10-09,2025-10-10,2025-10-16,20.467016368916426,23.07408905029297,12.73792249140888,12.625300840389041,12.125300840389041
2025-10-09,VG,3,0.9081632653061225,2.931040939248794,0.5955754091623505,-9.016768558129783,-6.116437707993361,2025-10-09,2025-10-10,2025-10-16,9.915115699006837,9.07973861694336,-8.425288291362588,-8.516768558129783,-9.016768558129783
2025-10-10,VG,1,1.0,8.781899778561899,0.7956268465958076,-11.277980719588687,-9.029101404053463,2025-10-10,2025-10-13,2025-10-17,9.805720976574666,8.83111572265625,-9.93914936236402,-10.777980719588687,-11.277980719588687
2025-10-10,CRWV,2,0.9387755102040817,5.35952222835071,0.7146466852480865,-4.912826418334159,-2.663947102798935,2025-10-10,2025-10-13,2025-10-17,141.85499572753906,136.8699951171875,-3.514152310804941,-4.412826418334159,-4.912826418334159
2025-10-10,CDE,3,0.8673469387755102,5.533909752059337,0.6450183334418651,-0.4331125205569437,1.8157667949782805,2025-10-10,2025-10-13,2025-10-17,20.816623601457746,21.02638816833496,1.0076781465296225,0.06688747944305629,-0.4331125205569437
2025-10-13,VG,1,0.9795918367346939,18.545877932785352,0.797542870957424,5.200160339242499,3.416434532634591,2025-10-13,2025-10-14,2025-10-20,8.701831897099812,9.238859176635742,6.171427877329072,5.700160339242499,5.200160339242499
2025-10-13,APLD,2,0.9285714285714286,9.196833867021239,0.8137100820267835,4.403583840053627,2.6198580334457184,2025-10-13,2025-10-14,2025-10-20,34.06999969482422,35.900001525878906,5.37129981639739,4.903583840053627,4.403583840053627
2025-10-13,SNDK,3,0.8979591836734694,11.167499601277461,0.7518484709644354,18.75146562861364,16.967739822005733,2025-10-13,2025-10-14,2025-10-20,123.58999633789062,148.0399932861328,19.783152093796307,19.25146562861364,18.75146562861364
2025-10-14,VG,1,1.0,15.858923751832377,0.7229243560924189,4.388498283137355,6.762125455839562,2025-10-14,2025-10-15,2025-10-21,9.049905674505352,9.55709743499756,5.604387258101795,4.888498283137355,4.388498283137355
2025-10-14,AMD,2,0.9489795918367347,12.701164304203038,0.6320172229655016,5.654368204025906,8.027995376728114,2025-10-14,2025-10-15,2025-10-21,222.7100067138672,238.02999877929688,6.878897042606824,6.154368204025906,5.654368204025906
2025-10-14,CRWV,3,0.9489795918367347,10.542857005875303,0.7014914453393993,-11.47812608656329,-9.104498913861082,2025-10-14,2025-10-15,2025-10-21,139.52999877929688,125.05999755859376,-10.370530600800187,-10.97812608656329,-11.47812608656329
2025-10-15,VG,1,1.0,16.28240892215159,0.8133308103228968,2.297292722590594,5.218906534820446,2025-10-15,2025-10-16,2025-10-22,9.298527762095702,9.487483024597168,2.032098707837582,2.797292722590594,2.297292722590594
2025-10-15,SNDK,2,0.9591836734693877,13.738772790253782,0.7821668440366669,0.9055168696342601,3.827130681864112,2025-10-15,2025-10-16,2025-10-22,146.0,146.9499969482422,0.6506828412617738,1.4055168696342601,0.9055168696342601
2025-10-15,AMD,3,0.9387755102040816,14.143566686267421,0.7322355321311131,-2.3339236309162787,0.5876901813135733,2025-10-15,2025-10-16,2025-10-22,236.2899932861328,230.22999572753903,-2.5646441790937335,-1.8339236309162787,-2.3339236309162787
2025-10-16,VG,1,0.9897959183673469,6.061598905452215,0.8116955450406281,6.650280110371798,4.2709259387329945,2025-10-16,2025-10-17,2025-10-23,9.039959710802403,9.586932182312012,6.050607403216612,7.150280110371798,6.650280110371798
2025-10-16,ONDS,2,0.9591836734693877,4.701383726879685,0.7254789307631212,-10.77411932022173,-13.153473491860534,2025-10-16,2025-10-17,2025-10-23,7.949999809265137,7.059999942779541,-11.194967142620138,-10.27411932022173,-10.77411932022173
2025-10-16,MARA,3,0.9285714285714286,2.2490905600771187,0.7707707450717661,-1.2700667164448727,-3.6494208880836765,2025-10-16,2025-10-17,2025-10-23,19.56999969482422,19.21999931335449,-1.7884536889507308,-0.7700667164448727,-1.2700667164448727
2025-10-17,ONDS,1,0.9693877551020408,6.561275355185866,0.5490681073604496,-6.894581912412878,-9.795294996072405,2025-10-17,2025-10-20,2025-10-24,8.0600004196167,7.460000038146973,-7.444173079810589,-6.394581912412878,-6.894581912412878
2025-10-17,VG,2,0.9591836734693877,4.688387592444894,0.7165009473257329,7.459699430652467,4.55898634699294,2025-10-17,2025-10-20,2025-10-24,8.841061527390963,9.437758445739746,6.749154685782077,7.959699430652467,7.459699430652467
2025-10-17,CDE,3,0.9489795918367347,9.54155168634658,0.5310974224724895,-14.999124741200319,-17.899837824859844,2025-10-17,2025-10-20,2025-10-24,22.035254206666288,18.629079818725582,-15.457840222738351,-14.499124741200319,-14.999124741200319
2025-10-20,ONDS,1,0.9897959183673469,15.169020621474443,0.7331983136651896,-1.263222040537459,-5.1735437692631585,2025-10-20,2025-10-21,2025-10-27,7.679999828338623,7.53000020980835,-1.9531200766018997,-0.763222040537459,-1.263222040537459
2025-10-20,VG,2,0.9693877551020409,13.220927328011902,0.7478196451199768,1.8066239336765548,-2.1036977950491442,2025-10-20,2025-10-21,2025-10-27,9.209024723953291,9.30847454071045,1.0799169264741115,2.306623933676555,1.8066239336765548
