month,gross_return,net_return,turnover,invested,weight_SPY,strategy,market,weight_QQQ,weight_069500.KS,weight_229200.KS
2020-08-01,0.06083046193895747,0.06083046193895747,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-09-01,-0.04701542827622407,-0.04701542827622407,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-10-01,-0.05694430318913135,-0.05694430318913135,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-11-01,0.08404927692978181,0.08404927692978181,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-12-01,0.020229628734414362,0.020229628734414362,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-01-01,0.01337921713307888,0.01337921713307888,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-02-01,0.03412596163429216,0.03412596163429216,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-03-01,0.057720223112520674,0.057720223112520674,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-04-01,0.029022184200209855,0.029022184200209855,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-05-01,0.012223602598971484,0.012223602598971484,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-06-01,0.038652632206067405,0.038652632206067405,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-07-01,0.03493282247046947,0.03493282247046947,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-08-01,0.05084865112246906,0.05084865112246906,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-09-01,-0.02867460610692918,-0.02867460610692918,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-10-01,0.05208461883521287,0.05208461883521287,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-11-01,0.011823585978255835,0.011823585978255835,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2021-12-01,0.04550095541166055,0.04550095541166055,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-01-01,-0.03855491004093736,-0.03855491004093736,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-02-01,-0.037649347841267056,-0.037649347841267056,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-03-01,0.04872359140121696,0.04872359140121696,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-04-01,-0.041156511358022785,-0.041156511358022785,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-05-01,-0.02619646536478948,-0.02619646536478948,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-06-01,-0.03379903066165757,-0.03379903066165757,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-07-01,0.086567066072607,0.086567066072607,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2022-08-01,-3.902456253090936e-05,-3.902456253090936e-05,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
