month,gross_return,net_return,turnover,weight_SCHG,weight_BIL,strategy
2021-01-01,0.01647701792250844,0.01647701792250844,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-02-01,0.010253250784132861,0.010253250784132861,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-03-01,0.026841388497691687,0.026841388497691687,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-04-01,0.05193952985712924,0.05193952985712924,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-05-01,-0.010720704041530138,-0.010720704041530138,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-06-01,0.0800788817675151,0.0800788817675151,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-07-01,0.04397788524453938,0.04397788524453938,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-08-01,0.06005901977620254,0.06005901977620254,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-09-01,-0.03612353040988503,-0.03612353040988503,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-10-01,0.07053641345176143,0.07053641345176143,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-11-01,0.02318173781134303,0.02318173781134303,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2021-12-01,0.013250486595233424,0.013250486595233424,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2022-01-01,-0.07576743473126801,-0.07576743473126801,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2022-02-01,-0.008596347991357,-0.013596347991357002,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-03-01,0.01119385856582622,0.01119385856582622,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-04-01,0.05098230067063936,0.05098230067063936,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-05-01,-0.028070877498122315,-0.028070877498122315,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-06-01,0.05385286907167419,0.05385286907167419,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-07-01,-0.004695932557078009,-0.004695932557078009,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-08-01,0.04451654788853876,0.04451654788853876,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-09-01,0.06142642756677441,0.06142642756677441,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-10-01,-0.004381281576991247,-0.004381281576991247,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-11-01,-0.06478593983237602,-0.06478593983237602,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2022-12-01,-0.04567821632712288,-0.04567821632712288,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2023-01-01,-0.02004310616010052,-0.02004310616010052,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2023-02-01,0.07422520901961627,0.07422520901961627,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2023-03-01,-0.012648875183068786,-0.012648875183068786,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2023-04-01,0.04734826304169859,0.04234826304169859,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-05-01,0.04815432717971024,0.04815432717971024,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-06-01,0.07038512512992345,0.07038512512992345,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-07-01,-0.004302367182173028,-0.004302367182173028,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-08-01,0.02988387645538415,0.02988387645538415,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-09-01,-0.03503922261669401,-0.03503922261669401,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-10-01,-0.014965837623649891,-0.014965837623649891,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2023-11-01,-0.03981809105390022,-0.044818091053900215,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2023-12-01,0.0353670757363187,0.030367075736318697,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
