threshold_pct,hold_sessions,signal_date,entry_date,exit_date,us_leader,kr_target,leader_return_pct,sector_net_pct,benchmark_net_pct,sector_minus_benchmark_pct,sector_inverse_50_50_net_pct
1.0,3,2025-03-19,2025-03-20,2025-03-24,ITA,309230.KS,2.3898313364131285,-0.5253958553589686,-0.1399543277857527,-0.3854415275732159,-0.42570256805071294
1.0,3,2025-03-24,2025-03-25,2025-03-27,SOXX,091160.KS,2.9692047311613123,-4.279594682292932,-1.6433556865743335,-2.6362389957185983,-1.5446806550321166
1.0,3,2025-03-31,2025-04-01,2025-04-03,XLF,139220.KS,1.2192656837857418,-0.8700647402580817,-1.2797567408816222,0.4096920006235405,0.013677485906392839
1.0,3,2025-04-07,2025-04-08,2025-04-10,SOXX,091160.KS,2.309214802639503,2.3145472312210194,2.1850235838315237,0.12952364738949562,-0.2055880196096158
1.0,3,2025-04-08,2025-04-09,2025-04-11,ITA,309230.KS,1.1782104986979292,2.918382685514275,4.079788414977425,-1.1614057294631497,-0.9951447144440859
1.0,3,2025-04-09,2025-04-10,2025-04-14,SOXX,091160.KS,18.57160218796521,-1.5433360995436138,0.6757569756988593,-2.219093075242473,-1.1982114581319379
1.0,3,2025-04-11,2025-04-14,2025-04-16,LIT,305720.KS,3.529759332239557,-2.450505396442105,-0.7099882870408756,-1.7405171094012295,-1.06085614649692
1.0,3,2025-04-14,2025-04-15,2025-04-17,XLV,227550.KS,1.2201211140081547,0.6536649882795222,0.0469852905522474,0.6066796977272748,0.1677199400272047
1.0,3,2025-04-22,2025-04-23,2025-04-25,XLF,139220.KS,3.3077750685364338,1.0971874865862699,0.6755846794305622,0.42160280715570764,-0.054745127138756455
1.0,3,2025-04-23,2025-04-24,2025-04-28,SOXX,091160.KS,3.746549481583017,-3.2687475366140593,0.6006149682121311,-3.8693625048261904,-2.1828327483513776
1.0,3,2025-04-24,2025-04-25,2025-04-29,SOXX,091160.KS,5.7548910306537415,-2.5841274178486593,0.39465641728122414,-2.9787838351298834,-1.7326341787229869
1.0,3,2025-04-25,2025-04-28,2025-04-30,ITA,309230.KS,1.22335445383992,-0.7268327060209865,0.1728923066587331,-0.8997250126797196,-0.6921299995429295
1.0,3,2025-04-29,2025-04-30,2025-05-07,XLF,139220.KS,1.0379808328572215,2.186171576689077,0.6289707759058007,1.557200800783276,0.5391520060774249
1.0,3,2025-05-01,2025-05-02,2025-05-08,ITA,309230.KS,1.0451846984091295,-3.2790531457672754,0.8516332455333,-4.130686391300575,-2.081984390656417
1.0,3,2025-05-02,2025-05-07,2025-05-09,SOXX,091160.KS,3.507822921948356,-0.3267853048173017,-0.3993223641412311,0.0725370593239294,-0.1548852744290794
1.0,3,2025-05-07,2025-05-08,2025-05-12,SOXX,091160.KS,1.7508159097779696,2.1713419453496465,1.0724294811779602,1.0989124641716863,0.356380393787197
1.0,3,2025-05-08,2025-05-09,2025-05-13,ITA,309230.KS,1.9524690912924747,4.480952965866835,1.2316657891402896,3.249287176726545,1.398515031686253
1.0,3,2025-05-09,2025-05-12,2025-05-14,SOXX,091160.KS,1.147380387828112,5.606442015311729,2.0943609895156303,3.512081025796099,1.6708237473818934
1.0,3,2025-05-12,2025-05-13,2025-05-15,SOXX,091160.KS,7.182634294838874,-1.5117527601143386,0.17680481531991885,-1.6885575754342574,-1.0915568875542856
1.0,3,2025-05-13,2025-05-14,2025-05-16,SOXX,091160.KS,2.833507008435232,-0.6161220043189539,-0.1530987218083322,-0.46302328251062175,-0.41306100215947694
1.0,3,2025-05-15,2025-05-16,2025-05-20,ITA,309230.KS,2.1242178879843365,-3.3432644374832963,-1.1342009107780169,-2.2090635267052794,-1.2533764047881544
1.0,3,2025-05-16,2025-05-19,2025-05-21,XLV,227550.KS,2.0159245297412642,-0.32983726805865343,-0.02425557680818627,-0.3055816912504672,-0.3276553545836012
1.0,3,2025-05-27,2025-05-28,2025-05-30,SOXX,091160.KS,3.322472037092239,-0.7405498015257925,1.8371584360183038,-2.5777082375440963,-1.5266767699217763
1.0,3,2025-06-02,2025-06-04,2025-06-09,SOXX,091160.KS,1.5077655254659428,4.422231318740243,4.78795648194068,-0.3657251632004366,-0.3122640262405172
