month,SCHG,BIL,KRW=X
2019-03-01,9.547160148620605,75.67378997802734,1134.3199462890625
2019-04-01,9.98106861114502,75.8194808959961,1158.7900390625
2019-05-01,9.36566162109375,75.98038482666016,1188.3800048828125
2019-06-01,10.02602767944336,76.11830139160156,1155.510009765625
2019-07-01,10.215197563171387,76.25562286376953,1180.6500244140625
2019-08-01,10.117602348327637,76.38487243652344,1207.1600341796875
2019-09-01,10.147615432739258,76.50849151611328,1201.9100341796875
2019-10-01,10.471333503723145,76.63147735595703,1163.699951171875
2019-11-01,10.946035385131836,76.71443176269531,1177.010009765625
2019-12-01,11.247071266174316,76.80004119873047,1156.3499755859375
2020-01-01,11.560600280761719,76.89241027832031,1187.1199951171875
2020-02-01,10.801593780517578,76.98326873779297,1211.31005859375
2020-03-01,9.663233757019043,77.14067840576172,1222.699951171875
2020-04-01,11.08268928527832,77.12552642822266,1210.7900390625
2020-05-01,11.867635726928711,77.11207580566406,1237.97998046875
2020-06-01,12.33842945098877,77.11207580566406,1198.489990234375
2020-07-01,13.292304039001465,77.12046813964844,1189.56005859375
2020-08-01,14.59492301940918,77.12046813964844,1179.5899658203125
2020-09-01,14.016225814819336,77.10360717773438,1167.8599853515625
2020-10-01,13.618264198303223,77.11207580566406,1129.52001953125
2020-11-01,14.987393379211426,77.10360717773438,1104.3299560546875
2020-12-01,15.64901065826416,77.10614776611328,1086.4200439453125
2021-01-01,15.536892890930176,77.10614776611328,1112.2900390625
2021-02-01,15.600263595581055,77.09772491455078,1119.1300048828125
2021-03-01,15.8323974609375,77.08930206298828,1132.3199462890625
2021-04-01,17.041357040405273,77.08930206298828,1106.6300048828125
2021-05-01,16.764434814453125,77.08088684082031,1112.8499755859375
2021-06-01,17.824058532714844,77.06401824951172,1130.510009765625
2021-07-01,18.41876792907715,77.05561828613281,1142.1199951171875
2021-08-01,19.13314437866211,77.04717254638672,1165.510009765625
2021-09-01,18.101547241210938,77.05561828613281,1187.4300537109375
2021-10-01,19.711362838745117,77.04717254638672,1167.3699951171875
2021-11-01,19.77247428894043,77.03034210205078,1190.739990234375
2021-12-01,20.04878044128418,77.03034210205078,1189.8900146484375
2022-01-01,18.25632667541504,77.03034210205078,1207.7099609375
2022-02-01,17.518033981323242,77.01349639892578,1197.5899658203125
2022-03-01,18.33709716796875,77.0488510131836,1210.43994140625
2022-04-01,15.908320426940918,77.0404281616211,1272.2900390625
2022-05-01,15.450016021728516,77.06571197509766,1236.1700439453125
2022-06-01,14.231263160705566,77.1255874633789,1301.72998046875
2022-07-01,16.071828842163086,77.15340423583984,1295.1500244140625
