month,gross_return,net_return,us_turnover,kr_turnover,cost_return,weight_QUAL,weight_MTUM,weight_QQQ,weight_SPY,weight_IWM,weight_EFA,weight_EEM,weight_IEF,weight_TLT,weight_GLD,weight_DBC,weight_BIL,weight_275280.KS,weight_275300.KS,weight_153130.KS
2020-12-01,0.04547413326762045,0.04446738442527153,0.39857799923926235,0.009813185000723465,0.0010067488423489157,0.16,0.16,0.2270389372187923,0.06762042165116182,0.04882278306050718,0.06835214889428716,0.06816570917525157,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
2021-01-01,0.01959278480853251,0.01917424917562051,0.16243714001224357,0.011850269410850559,0.00041853563291200204,0.16,0.16,0.21065471328426172,0.05105236359143228,0.03623462658060396,0.05115958656564733,0.051883477007945,0.0,0.0,0.07901523297010972,0.0,0.0,0.1,0.1,0.0
2021-02-01,0.014392044162210408,0.013988599952614075,0.15820295855422495,0.007558869724542949,0.00040344420959633246,0.16,0.16,0.21474113108538312,0.05543105842509136,0.03987876037239455,0.056264846212652965,0.05989817966580302,0.0,0.0,0.0,0.05378602423867498,5.551115123125783e-17,0.1,0.1,0.0
2021-03-01,0.027933464609997044,0.027871509146927168,0.021226161341043853,0.008466723540253088,6.195546306987537e-05,0.16,0.16,0.21551333380859206,0.05734493871369892,0.04026111072868996,0.05756940187223712,0.05887445818321286,0.0,0.0,0.0,0.05043675669356911,0.0,0.1,0.1,0.0
2021-04-01,0.020453210153291445,0.020312799796954727,0.05542425884031171,0.0017616278437502797,0.0001404103563367171,0.16,0.16,0.20170309409695614,0.052132115378927625,0.045286639818214576,0.05624732377884713,0.07285029221754416,0.0,0.0,0.0,0.05178053470951034,1.1102230246251565e-16,0.1,0.1,0.0
2021-05-01,0.008963345516963435,0.008911709953437407,0.01834657523166087,0.005494405187499746,5.163556352602691e-05,0.16,0.16,0.2048548018979571,0.05724930896247288,0.04563146486920814,0.0526193750154757,0.06879124946721116,0.0,0.0,0.0,0.05085379978767502,5.551115123125783e-17,0.1,0.1,0.0
2021-06-01,0.04507218924036918,0.044867741153167426,0.08100873348750798,0.0018345271266504565,0.0002044480872017529,0.16,0.16,0.19880544311920553,0.0501237508669473,0.03932550956125794,0.0470865018672507,0.06007809260594702,0.0,0.0,0.038173434331726104,0.04640726764766546,0.0,0.1,0.1,0.0
2021-07-01,0.014334792941343984,0.014147436974782423,0.07438169074886802,0.0013349901803726416,0.00018735596656156134,0.16,0.16,0.2040450274358968,0.05700967145495588,0.04426693152275078,0.05188046415535928,0.07012106026110378,0.0,0.0,0.0,0.05267684516993344,5.551115123125783e-17,0.1,0.1,0.0
2021-08-01,0.03906377494563193,0.03871765032881979,0.13599888388916434,0.005835625799265845,0.00034612461681213995,0.16,0.16,0.21845704639722544,0.07525060635744314,0.05256699760376678,0.06646729340428653,0.0,0.0,0.0,0.0,0.06725805623727812,-5.551115123125783e-17,0.1,0.1,0.0
2021-09-01,-0.02986626207788801,-0.029906750074178964,0.01247278393388746,0.008862891863080827,4.048799629095352e-05,0.16,0.16,0.22429720541214382,0.07721274998662586,0.05109411123772948,0.06520641157150543,0.0,0.0,0.0,0.0,0.062189521791995425,0.0,0.1,0.1,0.0
2021-10-01,0.042499893715834076,0.04204825264193047,0.015145448807427526,0.39407376370003944,0.0004516410739036102,0.16,0.16,0.22395519681690212,0.07389943198747745,0.050996035056176024,0.06309405166198913,0.0,0.0,0.0,0.0,0.06805528447745529,0.0,0.0,0.0,0.2
