strategy,market,asset,signal_date,entry_date,exit_date,signal_value,gross_pct,net_pct
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-07,2011-09-08,2011-09-08,2.5333118048179726,-0.645295587010819,-0.855295587010819
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-13,2011-09-14,2011-09-14,1.336813590518826,-2.970720239367386,-3.180720239367386
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-14,2011-09-15,2011-09-15,1.4290863099565287,-0.8189655172413768,-1.0289655172413767
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-15,2011-09-16,2011-09-16,1.4812036800208483,1.6382978723404218,1.4282978723404218
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-23,2011-09-26,2011-09-26,1.0637731467433742,-3.0378037803780455,-3.2478037803780455
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-26,2011-09-27,2011-09-27,1.163495813250126,2.2983325822442557,2.0883325822442558
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-09-27,2011-09-28,2011-09-28,1.0404782104936672,-1.900393184796867,-2.110393184796867
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-04,2011-10-05,2011-10-05,2.0531721127227343,-2.6222222222222147,-2.8322222222222146
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-05,2011-10-06,2011-10-06,2.5675205768649567,0.31208203299153414,0.10208203299153415
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-06,2011-10-07,2011-10-07,1.6812999119713234,0.25985275010826925,0.049852750108269256
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-10,2011-10-11,2011-10-11,3.4584625361689714,-0.7779646761984949,-0.9879646761984948
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-14,2011-10-17,2011-10-17,1.8557477874675543,0.5974454058508494,0.3874454058508494
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-18,2011-10-19,2011-10-19,1.2395246441495367,0.24721878862794533,0.03721878862794534
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-21,2011-10-24,2011-10-24,1.254676826025869,2.300739523418227,2.090739523418227
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-10-24,2011-10-25,2011-10-25,2.076774866939135,-0.38106698756517066,-0.5910669875651706
