2026-03-20 23:46:57 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:03 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:09 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:15 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:22 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:28 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:34 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:41 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:47 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:53 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:47:59 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:06 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:12 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:18 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:24 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:30 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:37 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:43 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:49 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:48:55 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:02 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:08 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:14 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:20 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:27 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:33 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:40 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:46 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:52 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:49:59 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:05 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:11 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:17 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:24 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:31 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:37 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:43 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:49 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:50:56 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:02 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:09 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:15 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:21 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:28 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:34 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:40 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:47 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:51:53 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:00 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:06 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:12 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:19 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:25 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:31 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:38 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:44 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:51 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
2026-03-20 23:52:57 [INFO    ] build_consensus:48 | 합의: NEUTRAL size=40% minority=False
